id,userName,userImage,date,score,scoreText,url,title,text,replyDate,replyText,version,thumbsUp,criterias
34fef766-b6ec-41bb-b844-eb48dd20a729,lim xiangqing,https://play-lh.googleusercontent.com/a/ACg8ocINKgZs7cjT7F7P7okaRXRH1KTAdzEZmP0V2JGKRPUZ=mo,2024-03-10T23:51:02.700Z,1,1,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=34fef766-b6ec-41bb-b844-eb48dd20a729,,cant logging using finger print . previously still able to use . so pissed off with the update .,2024-03-11T00:52:46.253Z,"Hi Xiangqing, we'd love to look into this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",2.23.0,0,[]
666f0966-0c9f-4b1a-a37b-0ab7eefbf122,Matt Murati,https://play-lh.googleusercontent.com/a-/ALV-UjV5hGgOf1A1XOw3Kx_0XnqgCao_ypCmplTPdUuaDS2-odE,2024-03-10T22:02:20.654Z,1,1,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=666f0966-0c9f-4b1a-a37b-0ab7eefbf122,,For 1st time registration signup by singpass and all info's needed but still my application is denied.,2024-03-10T23:33:26.777Z,"Hi Matt, thanks for reaching out! If you are referring to our GXS FlexiLoan, please be assured that all applications go through an evaluation process that is aligned with our internal requirements. This includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days. 🙏",2.23.0,0,[]
9669c871-cc07-4154-8bb8-a59dc51573d9,Jeremy Kuah,https://play-lh.googleusercontent.com/a-/ALV-UjU24AWxoQpjt6s5R3Gn9JT960QKQoufUnzhdfPqKuvAEUE,2024-03-10T03:28:54.619Z,4,4,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=9669c871-cc07-4154-8bb8-a59dc51573d9,,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",2024-03-10T01:27:39.606Z,"Hi Jeremy, could you share more details on the issue you faced please? 👀 We'd love to help, but we recommend giving our hotline a call at (+65) 3105 2055 for the best assistance. 🙏",,0,[]
fbd1073e-5677-40b3-8959-89ef7663a82a,Nurhartini Nurhartini,https://play-lh.googleusercontent.com/a-/ALV-UjUc2Ab1PDUvhtY1m0LWZVzm713gKHfhWwO2uXoi1c4Y1fw,2024-03-09T02:29:58.143Z,1,1,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=fbd1073e-5677-40b3-8959-89ef7663a82a,,They unable to process my application. 4x attempt,2024-03-09T02:48:09.455Z,"Hi Nurhartini, we'd love to check on this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",2.23.0,0,[]
de27526e-6508-4a55-a6b0-5e56c38cf1b4,AK Ong,https://play-lh.googleusercontent.com/a/ACg8ocKVzlKmFx2RP3MQAiJu_iIs0mnKqCftQtJ02F5CcvQk=mo,2024-03-08T12:39:35.515Z,1,1,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=de27526e-6508-4a55-a6b0-5e56c38cf1b4,,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,2024-03-08T13:21:01.100Z,"Hi AK Ong. We're sorry to hear that you are having issues accessing your account, and we would love to sort this out for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error along with your contact details, or call us at (+65) 3105 2055. We’ll be happy to help. Thank you. 🙏",2.24.0,0,[]
905158fa-9508-42c9-bb57-6156e76b8851,Vince Chew,https://play-lh.googleusercontent.com/a/ACg8ocJRw7umLPQB3DfxpmEVD7wyNpCRco9ia56APiMsJKGJ=mo,2024-03-07T00:40:42.759Z,2,2,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=905158fa-9508-42c9-bb57-6156e76b8851,,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,2024-03-07T02:45:30.641Z,"Hi Vince. We're sorry to hear this and would love to sort this issue for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",2.23.0,0,[]
89177467-1434-4afa-afbc-48dffec0a567,Anna Y,https://play-lh.googleusercontent.com/a/ACg8ocIkF1mL-zaV31FTUI_3apT_P5p2Y7RbCbfxOEVQsRNz=mo,2024-03-06T04:14:17.670Z,4,4,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=89177467-1434-4afa-afbc-48dffec0a567,,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",2024-03-06T04:47:19.679Z,"Hi Anna. We're over the moon to hear your positive feedback about our GXS Savings Account, specifically the Saving Pockets! It's always fantastic to know we're hitting the mark. We're constantly working on improving our services and your feedback is a valuable part of that process. Thank you for your support! 😊💜",,0,[]
e117eb07-7549-43e6-8318-55ce1fcfe694,Jia Hong,https://play-lh.googleusercontent.com/a/ACg8ocKR4jQqTEI6_ZXc_EBajrYy_A3yiVeA2QkBan4Wwy9C=mo,2024-03-06T01:39:11.760Z,5,5,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=e117eb07-7549-43e6-8318-55ce1fcfe694,,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,2024-03-06T02:30:02.577Z,"Hi Jia Hong! We are happy that you like our app! This 5-star review made our day! 💜 We are thrilled to hear that you find our app easy to use and that you like the short-term loan feature! We're constantly working on new and exciting features, and we can't wait for you to try them out in the future.😍🚀",2.23.0,0,[]
6caa76db-0b0e-4e9a-ab66-45a5c6935d2a,E,https://play-lh.googleusercontent.com/a-/ALV-UjV312qsEVfLUw83KzY4mM-xthsOvkqvEW-CcX--CRVefOjt,2024-03-04T04:23:26.614Z,3,3,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=6caa76db-0b0e-4e9a-ab66-45a5c6935d2a,,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",2024-03-04T05:00:32.637Z,"Hi EE, that's a fantastic suggestion and it's been captured as part of future enhancements! 🙌 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",2.23.0,12,"[{'criteria': 'vaf_never_display_ads_experience', 'rating': None}, {'criteria': 'vaf_never_display_ease_of_use', 'rating': None}]"
36d50466-6d61-49a5-b64c-a30a15871877,Baggio Pan,https://play-lh.googleusercontent.com/a/ACg8ocJcZ8gGDNFG_90hSnlYwI0wTLa-LggDmxkGlonlEyhY=mo,2024-03-01T09:52:59.459Z,5,5,https://play.google.com/store/apps/details?id=sg.com.gxs.app&reviewId=36d50466-6d61-49a5-b64c-a30a15871877,,Ok Good system.,2024-03-01T12:01:22.583Z,Hi Baggio! Thank you for your 5-star review. 💜 We are thrilled to know that you like the app. 😍,2.23.0,0,[]
